,Schrodinger
2007-12-28,100000.0
2008-01-04,99960.63755881724
2008-01-11,99470.57616830942
2008-01-18,94920.14131960375
2008-01-25,94592.42961427332
2008-02-01,97887.23020453083
2008-02-08,94183.6562210464
2008-02-15,96034.55237655314
2008-02-22,96694.27762993946
2008-02-29,95946.41080093048
2008-03-07,93416.3951122457
2008-03-14,93061.99032315065
2008-03-21,92891.88910964031
2008-03-28,94697.49158927436
2008-04-04,98204.52237693424
2008-04-11,96623.29627362697
2008-04-18,99859.09777382968
2008-04-25,100328.40546379605
2008-05-02,101909.55839372127
2008-05-09,100668.84852077514
2008-05-16,103571.91266999987
2008-05-23,100913.17272640123
2008-05-30,102362.85906423707
2008-06-06,100122.70813830962
2008-06-13,99000.8603025314
2008-06-20,97332.16523584402
2008-06-27,95995.25600211426
2008-07-04,93981.55145817356
2008-07-11,93296.08492801561
2008-07-18,92802.2222187223
2008-07-25,91558.03183875883
2008-08-01,91568.95582445513
2008-08-08,90336.70189289014
2008-08-15,89877.73188941307
2008-08-22,91065.08233976366
2008-08-29,90782.99088553603
2008-09-05,85888.27841228717
2008-09-12,85896.52237066693
2008-09-19,87810.78488024972
2008-09-26,84590.99743885404
2008-10-03,76672.20061982355
2008-10-10,65787.84036128472
2008-10-17,66780.23670140166
2008-10-24,62920.893267794214
2008-10-31,69026.92348189678
2008-11-07,68016.12267841861
2008-11-14,66116.27789024636
2008-11-21,64472.544631990895
2008-11-28,67072.87217838019
2008-12-05,65621.61236822153
2008-12-12,67546.75607378257
2008-12-19,67419.80426656362
2008-12-26,66750.75510211033
2009-01-02,68771.60147580877
2009-01-09,67829.35533204791
2009-01-16,66708.05181786632
2009-01-23,66158.82274539668
2009-01-30,66202.30753731419
2009-02-06,67783.79533087187
2009-02-13,66849.55579205541
2009-02-20,64811.13955062644
2009-02-27,64236.34003851482
2009-03-06,63695.30681900328
2009-03-13,65401.75712637151
2009-03-20,66127.1626975118
2009-03-27,67162.0706407846
2009-04-03,67903.68331645797
2009-04-10,67776.45513951631
2009-04-17,67790.43918012193
2009-04-24,68333.42812382615
2009-05-01,68119.1858383246
2009-05-08,70180.03597090732
2009-05-15,69316.48097287063
2009-05-22,69802.01924482893
2009-05-29,71282.9024031895
2009-06-05,70649.62010156654
2009-06-12,70831.80860312111
2009-06-19,69606.34629399565
2009-06-26,69392.54388598469
2009-07-03,68596.9434444701
2009-07-10,67850.25415553089
2009-07-17,69747.64962253324
2009-07-24,71032.32544822572
2009-07-31,71142.96972409789
2009-08-07,71004.5831599391
2009-08-14,71362.63726990359
2009-08-21,71983.83115246888
2009-08-28,72125.57689132306
2009-09-04,71603.67439407272
2009-09-11,72930.08043525269
2009-09-18,73511.5455027307
2009-09-25,73241.6589305557
2009-10-02,72907.45084054493
2009-10-09,74160.15418215402
2009-10-16,74908.34717061342
2009-10-23,74499.9123882729
2009-10-30,73244.5330431298
2009-11-06,74476.71366211117
2009-11-13,75237.3699974021
2009-11-20,75480.8003539263
2009-11-27,75543.48772954365
2009-12-04,75760.9484333648
2009-12-11,75127.98758170046
2009-12-18,75192.7875184958
2009-12-25,75744.76006569501
2010-01-01,76068.2963228696
2010-01-08,77962.72124960681
2010-01-15,77408.38999607632
2010-01-22,75043.03007633208
2010-01-29,73707.39477818883
2010-02-05,73140.70727927895
2010-02-12,74176.31067026686
2010-02-19,75243.81866800756
2010-02-26,74895.28256373994
2010-03-05,76812.61539596757
2010-03-12,77295.26453482264
2010-03-19,76902.20363968947
2010-03-26,76479.37147965736
2010-04-02,78483.24672004377
2010-04-09,79446.61038000903
2010-04-16,78783.54275287232
2010-04-23,80299.32560968595
2010-04-30,79013.94218301053
2010-05-07,74717.00861095364
2010-05-14,76162.24479670882
2010-05-21,73537.37107205036
2010-05-28,74036.33187724439
2010-06-04,72942.47213648795
2010-06-11,74776.64806890258
2010-06-18,76223.09868845258
2010-06-25,75110.48272920915
2010-07-02,72366.35177947993
2010-07-09,74912.07492724081
2010-07-16,74026.39869114148
2010-07-23,76396.97207909558
2010-07-30,76434.29769918846
2010-08-06,77580.19184397071
2010-08-13,75128.28593442355
2010-08-20,75069.9171315181
2010-08-27,75046.00577400844
2010-09-03,76161.18209787969
2010-09-10,76537.96994790176
2010-09-17,77408.65570666234
2010-09-24,78962.35736774014
2010-10-01,80425.0468194162
2010-10-08,81792.36934125604
2010-10-15,82960.75016475764
2010-10-22,81936.39316427712
2010-10-29,82777.3992204165
2010-11-05,85815.91526905277
2010-11-12,84216.03363625672
2010-11-19,83524.25287009953
2010-11-26,83858.44507845942
2010-12-03,87258.2140335148
2010-12-10,86207.94124702305
2010-12-17,85795.3422733096
2010-12-24,86493.02080497393
2010-12-31,88445.13124739456
2011-01-07,86632.57449684093
2011-01-14,87329.9258677773
2011-01-21,85879.73229648639
2011-01-28,84864.2554881846
2011-02-04,86294.51139802174
2011-02-11,86004.69664171127
2011-02-18,87065.29514106073
2011-02-25,87985.16732674785
2011-03-04,88819.85896448721
2011-03-11,87795.72668706464
2011-03-18,86681.99062351962
2011-03-25,89058.75091885551
2011-04-01,90236.57384440058
2011-04-08,90760.692710976
2011-04-15,91339.30661856123
2011-04-22,92782.3948296551
2011-04-29,95570.44042076285
2011-05-06,93146.55567512472
2011-05-13,93265.12507854488
2011-05-20,93860.5650622237
2011-05-27,94994.89494563539
2011-06-03,93875.59847966663
2011-06-10,91068.22811122022
2011-06-17,91697.87454202182
2011-06-24,91330.89941189766
2011-07-01,95432.93855016162
2011-07-08,98145.21870598436
2011-07-15,98539.38541237221
2011-07-22,100780.91781574242
2011-07-29,99179.15045200002
2011-08-05,89970.89471018518
2011-08-12,88398.16883009691
2011-08-19,85584.71590531597
2011-08-26,87388.64426042467
2011-09-02,88452.9310724229
2011-09-09,86506.23300054445
2011-09-16,88561.08900696062
2011-09-23,80918.87613997515
2011-09-30,78729.70387153246
2011-10-07,80574.0093044709
2011-10-14,85211.2476642154
2011-10-21,84257.77055130881
2011-10-28,87495.10329269516
2011-11-04,86338.4227604222
2011-11-11,86413.06467501978
2011-11-18,83679.77368893952
2011-11-25,80523.30198827978
2011-12-02,84700.34798968863
2011-12-09,84572.21511253451
2011-12-16,82391.6940567579
2011-12-23,84238.17515013364
2011-12-30,83832.32889647115
2012-01-06,84737.92135920508
2012-01-13,85314.91048725667
2012-01-20,87075.45616959185
2012-01-27,87955.51174109871
2012-02-03,89170.26643898082
2012-02-10,89209.48353273688
2012-02-17,90277.50688276281
2012-02-24,91366.25547002428
2012-03-02,90655.05447828332
2012-03-09,90341.6635874114
2012-03-16,90914.10232893587
2012-03-23,89804.82328965029
2012-03-30,89040.81593000423
2012-04-06,88650.63759205527
2012-04-13,88028.28263975553
2012-04-20,88195.48590155297
2012-04-27,88914.40902475087
2012-05-04,86929.07341405003
2012-05-11,85583.4583843325
2012-05-18,83089.78025957133
2012-05-25,83126.41775736334
2012-06-01,81171.94923561446
2012-06-08,82465.49456890601
2012-06-15,83042.0241930529
2012-06-22,81663.87031865015
2012-06-29,83796.23844216492
2012-07-06,83735.25048647674
2012-07-13,84195.03522256938
2012-07-20,85236.47441177092
2012-07-27,86266.29233952452
2012-08-03,86373.84604640804
2012-08-10,87452.35932816695
2012-08-17,87810.08039927861
2012-08-24,88963.65603459266
2012-08-31,89555.85521822442
2012-09-07,90372.38485277593
2012-09-14,91888.50197121743
2012-09-21,90113.8990978447
2012-09-28,89706.72648029972
2012-10-05,88952.3899224832
2012-10-12,89257.42719836005
2012-10-19,87792.53173480726
2012-10-26,85875.29042434655
2012-11-02,84836.23525354135
2012-11-09,86106.00749376074
2012-11-16,85988.49548551993
2012-11-23,87291.0654600409
2012-11-30,86921.24712389338
2012-12-07,85919.65524754814
2012-12-14,85804.85629531759
2012-12-21,85494.39118714866
2012-12-28,85951.26012823217
2013-01-04,86249.94755154412
2013-01-11,86574.15902657216
2013-01-18,87652.52591394326
2013-01-25,87088.94775082957
2013-02-01,87999.64304741519
2013-02-08,88184.0053791132
2013-02-15,86691.30521446055
2013-02-22,85007.88308662614
2013-03-01,84008.62864219413
2013-03-08,84713.77030118143
2013-03-15,85636.20738560302
2013-03-22,85537.36780722601
2013-03-29,85989.5762252416
2013-04-05,86947.02866869955
2013-04-12,87004.75400751835
2013-04-19,86152.96824568388
2013-04-26,87759.58945406356
2013-05-03,88389.79592035839
2013-05-10,88002.92754804897
2013-05-17,87891.48834893895
2013-05-24,87503.30423921208
2013-05-31,86219.75324193104
2013-06-07,87153.75675446611
2013-06-14,87213.51406451735
2013-06-21,83582.07496028063
2013-06-28,85766.23969290605
2013-07-05,85782.68976845406
2013-07-12,88335.05928436176
2013-07-19,89536.36240924482
2013-07-26,88691.43088579724
2013-08-02,87175.25698372653
2013-08-09,87415.14619013152
2013-08-16,83650.44723198742
2013-08-23,84841.76375801727
2013-08-30,84234.99689293776
2013-09-06,84283.49020805242
2013-09-13,85455.3586740488
2013-09-20,86871.7516522652
2013-09-27,86820.58267613105
2013-10-04,86093.77615647858
2013-10-11,86708.02005319674
2013-10-18,88673.62174817508
2013-10-25,89933.51254136121
2013-11-01,88929.61918725434
2013-11-08,88056.98959912418
2013-11-15,89021.66302066029
2013-11-22,87628.30020465466
